crop,rf,temp,ph
Arecanut,1000.499,35,5.5
Arecanut,1001.953,34,5.5
Arecanut,1002.183,33.66667,5.5
Arecanut,1002.448,32.66667,5.5
Arecanut,1002.673,31.66667,5.5
Arecanut,1003.125,30.16667,5.5
Arecanut,1003.477,27.16667,5.5
Arecanut,1003.676,26.66667,5.5
Arecanut,1004.196,18.66667,5.5
Arecanut,1004.348,16.16667,5.5
Arecanut,1004.858,11,5.5
Arecanut,1005.625,11,5.5
Arecanut,1006.034,11,5.5
Arecanut,1005.69,11,5.7
Arecanut,1007.677,13,5.7
Arecanut,1010.585,13,5.8
Arecanut,1009.494,17,5.8
Arecanut,1009.659,17,5.8
Arecanut,1010,17,5.8
Arecanut,1010.089,17,5.8
Arecanut,1010.142,17,5.8
Arecanut,1010.417,17,5.8
Arecanut,1010.417,17,5.8
Arecanut,1010.417,17,5.8
Arecanut,1010.648,17,5.8
Arecanut,1010.811,17,5.8
Arecanut,1011.771,17,5.8
Arecanut,1011.842,17,5.8
Arecanut,1011.94,17,5.8
Arecanut,1012.097,17,5.8
Arecanut,1012.246,17,5.8
Arecanut,1012.5,17,5.8
Arecanut,1013.525,17,5.8
Arecanut,1013.829,17,5.8
Arecanut,1014.063,17,5.8
Arecanut,1014.431,17,5.8
Arecanut,1014.644,17,6
Arecanut,1014.677,17,6
Arecanut,1014.954,17,6
Arecanut,1015,17,6
Arecanut,1015.12,17,6
Arecanut,1015.385,17,6
Arecanut,1015.774,17,6
Arecanut,1015.789,17,6
Arecanut,1015.909,17,6
Arecanut,1015.948,17,6
Arecanut,1015.95,17,6
Arecanut,1015.957,17,6
Arecanut,1015.984,17,6
Arecanut,1016.071,17,6
Arecanut,1016.27,17,6
Arecanut,1016.274,17,6
Arecanut,1016.346,17,6
Arecanut,1016.797,17,6
Arecanut,1016.81,17,6
Arecanut,1017.5,17,6
Arecanut,1017.5,17,6
Arecanut,1017.5,17,6
Arecanut,1017.5,17,6
Arecanut,1017.5,17,6
Arecanut,1018.75,19,6
Arecanut,1018.75,19,6
Arecanut,1019.115,19,6
Arecanut,1019.231,19,6
Arecanut,1019.233,19,6
Arecanut,1019.318,19,6
Arecanut,1019.36,19,6
Arecanut,1019.595,19,6
Arecanut,1019.792,19,6
Arecanut,1019.97,19,6
Arecanut,1020,19,6
Arecanut,1021.161,19,6
Arecanut,1021.667,19,6
Arecanut,1021.739,19,6
Arecanut,1021.875,19,6
Arecanut,1022.559,19,6
Arecanut,1022.819,21,6
Arecanut,1022.96,21,6
Arecanut,1023.037,21,6
Arecanut,1023.322,21,6
Arecanut,1023.438,21,6
Arecanut,1023.529,21,6
Arecanut,1023.672,21,6
Arecanut,1023.778,21,6
Arecanut,1023.897,21,6
